service,profiles,memory_limit_mib,cpu_limit,restart,dependencies
ai-observer,,,,always,elasticsearch
alert-crawler,,,,no,elasticsearch
alloy,observability,512.0,0.25,always,loki
auth,,128.0,0.25,always,
classifier,,1024.0,1,always,"coforge-ml,crime-ml,elasticsearch,entertainment-ml,indigenous-ml,mining-ml,postgres-classifier"
click-tracker,,128.0,0.25,always,postgres-click-tracker
coforge-ml,,1024.0,0.5,always,
crawler,,1024.0,1,always,"elasticsearch,minio,postgres-crawler,render-worker,source-manager"
crime-ml,,1024.0,0.5,always,
dashboard,,256.0,0.5,always,auth
elasticsearch,,8192.0,4,always,
entertainment-ml,,256.0,,always,
grafana,observability,512.0,0.5,always,loki
index-manager,,256.0,0.5,always,"elasticsearch,postgres-index-manager"
indigenous-ml,,256.0,,always,
loki,observability,512.0,0.5,always,
mcp-north-cloud,,,,always,"classifier,crawler,index-manager,publisher,search-service,source-manager"
mining-ml,,1024.0,0.5,always,
minio,,2048.0,0.25,always,
minio-init,,,,no,minio
nc-http-proxy,,128.0,0.25,always,
nginx,,128.0,0.5,always,
northcloud-search-subscriber,,128.0,0.25,always,
northcloud-search-web,,128.0,0.25,always,
pipeline,,256.0,0.5,always,postgres-pipeline
playwright-renderer,,1024.0,1.0,always,
postgres-classifier,,512.0,0.5,always,
postgres-click-tracker,,512.0,0.5,always,
postgres-crawler,,512.0,0.5,always,
postgres-index-manager,,512.0,0.5,always,
postgres-pipeline,,512.0,0.5,always,
postgres-publisher,,512.0,0.5,always,
postgres-source-manager,,512.0,0.5,always,
postgres-umami,,256.0,0.25,always,
prometheus,observability,256.0,0.25,always,
publisher,,512.0,1,always,"elasticsearch,postgres-publisher"
pyroscope,observability,256.0,0.25,always,
redis,disabled,256.0,0.25,always,
render-worker,,512.0,1.0,always,
rfp-ingestor,,512.0,0.5,always,elasticsearch
search-service,,512.0,0.5,always,elasticsearch
signal-crawler,,256.0,0.5,no,
source-manager,,256.0,0.5,always,postgres-source-manager
squid,,128.0,0.25,always,
umami,,256.0,0.5,always,postgres-umami
